"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Regular_Petrol_importer_cost_NZc.p.l","Regular_Petrol_ETS_NZc.p.l","Regular_Petrol_GST_NZc.p.l","Regular_Petrol_taxes_NZc.p.l","Regular_Petrol_price_excl_taxes_NZc.p.l","Regular_Petrol_main_port_price_NZc.p.l","Regular_Petrol_discounted_retail_price_NZc.p.l","Regular_Petrol_importer_margin_NZc.p.l","Regular_Petrol_margin_trend_NZc.p.l","Premium_Petrol_95R_importer_cost_NZc.p.l","Premium_Petrol_95R_ETS_NZc.p.l","Premium_Petrol_95R_GST_NZc.p.l","Premium_Petrol_95R_taxes_NZc.p.l","Premium_Petrol_95R_price_excl_taxes_NZc.p.l","Premium_Petrol_95R_main_port_price_NZc.p.l","Premium_Petrol_95R_discounted_retail_price_NZc.p.l","Premium_Petrol_95R_importer_margin_NZc.p.l","Premium_Petrol_95R_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2015-10-30,"2015w44","Final",44.4,0.6735,65.924276169265,61.4217810239765,0.6675,14.1343100189036,14.5093100189036,93.1862334593573,117.9,108.363043478261,31.7644524353808,32.8843948126601,63.5491469123572,0.5775,24.1389413988658,91.2679413988658,93.2197759924386,195.9,185.065217391304,29.6706290800814,27.7278253627657,64.7934452153202,0.592,25.9480323079567,93.0770323079567,105.265882053045,203.9,198.934914361001,40.4724368377244,38.3460636994623,101.479239130435
2015-11-06,"2015w45","Final",45.47,0.66736,68.1341404938864,63.8953158529055,0.9345,14.4324466648663,14.8074466648663,94.9068110991088,120.185714285714,110.648757763975,31.0114952462033,32.8501986157387,64.2916013646295,0.8085,24.1389413988658,91.2679413988658,92.9887759924385,195.9,185.065217391304,28.6971746278091,27.7564787661735,65.5469603707087,0.828,25.9480323079567,93.0770323079567,105.029882053045,203.9,198.934914361001,39.4829216823359,38.4111870816001,103.199816770186
2015-11-13,"2015w46","Final",41.94,0.65422,64.1068753630277,63.5297011196266,0.9345,14.6560491493384,15.0310491493384,96.3974943289225,121.9,112.363043478261,32.8677932092959,32.8160024188173,63.8374770021465,0.8085,24.1389413988658,91.2679413988658,92.9887759924385,195.9,185.065217391304,29.151298990292,27.7851321695814,65.1180498771688,0.828,25.9480323079567,93.0770323079567,105.029882053045,203.9,198.934914361001,39.9118321758758,38.4763104637378,104.6905
2015-11-20,"2015w47","Final",38.92,0.65092,59.7922939838997,61.5248115398751,0.9345,14.4324466648663,14.8074466648663,94.9068110991088,120.185714285714,110.648757763975,33.3819995592337,32.7818062218958,61.7069584158401,0.8085,23.9153389143937,91.0443389143937,91.4980927626249,194.185714285714,183.350931677019,29.7911343467848,27.8137855729892,62.9936263098187,0.828,25.7244298234846,92.8534298234846,103.539198823231,202.185714285714,197.220628646716,40.5455725134123,38.5414338458755,103.199816770186
2015-11-27,"2015w48","Final",40.29,0.65526,61.4870433110521,61.3899578778087,0.9345,14.395179584121,14.770179584121,94.6583638941399,119.9,110.363043478261,33.2684060163312,32.7476100249744,62.582215359638,0.8085,23.8780718336484,91.0070718336484,91.2496455576559,193.9,183.065217391304,28.6674301980179,27.8424389763971,63.8603612338689,0.828,25.6871627427393,92.8161627427393,103.290751618262,201.9,196.934914361001,39.4303903843931,38.6065572280132,102.951369565217
2015-12-04,"2015w49","Final",39.48,0.66194,59.6428679336496,58.7559108250653,1.09474,14.395179584121,14.770179584121,94.4981238941399,119.9,110.363043478261,35.7422130690746,32.713413828053,61.4795834629453,0.94714,23.8780718336484,91.0070718336484,91.1110055576559,193.9,183.065217391304,29.6314220947107,27.871092379805,62.744440315228,0.9704,25.6871627427393,92.8161627427393,103.148351618262,201.9,196.934914361001,40.4039113030341,38.6716806101509,102.791129565217
2015-12-11,"2015w50","Final",35.1,0.6702,52.3724261414503,53.7074917161691,1.1348,13.5007696462328,13.8757696462328,88.4953309748852,113.042857142857,103.505900621118,34.7878392587161,32.6792176311316,58.7075048325018,0.9818,23.2072643802322,90.3362643802323,86.604295868215,188.757142857143,177.922360248447,27.8967910357132,27.8997457832128,59.9570813192204,1.006,25.0163552893232,92.1453552893232,98.640701928821,196.757142857143,191.792057218144,38.6836206096006,38.7368039922886,96.7883366459627
2015-12-18,"2015w51","Final",32.87,0.67392,48.7743352326686,48.1814787443542,1.1348,12.8485957331893,13.2235957331893,84.1475048879287,108.042857142857,98.505900621118,35.9660261435745,32.6450214342101,58.6786382248694,0.9818,22.9277612746422,90.0567612746422,84.7409418309479,186.614285714286,175.77950310559,26.0623036060784,27.9283991866207,59.9217774495505,1.006,24.7368521837331,91.8658521837331,96.7773478915539,194.614285714286,189.649200075287,36.8555704420034,38.8019273744263,92.4405105590062
2015-12-25,"2015w52","Final",31.92,0.67795,47.0831182240578,47.1952606257456,1.1348,12.5690926275992,12.9440926275992,82.2841508506616,105.9,96.3630434782609,35.088890224916,32.6235654518611,56.64203079868,0.9818,22.7041587901701,89.8331587901701,83.2502586011342,184.9,174.065217391304,26.6082278024542,27.9478761044954,57.8769719039387,1.006,24.513249699261,91.642249699261,95.2866646617403,192.9,187.934914361001,37.4096927578016,38.8538408349616,90.5771565217391
2016-01-01,"2015w53","Final",31.78,0.685766666666667,46.3422932970398,46.6801635648124,1.1348,12.4099681576862,12.7849681576862,81.2233210512415,105.9,95.1430892089277,34.5431574864291,32.602109469512,56.7666769492506,0.9818,22.6286408703368,89.7576408703368,82.7468058022453,184.9,173.486246672582,25.9801288529946,27.9673530223702,57.9900146517061,1.006,24.4545019657631,91.5835019657631,94.8950131050874,192.9,187.48451507085,36.9049984533812,38.9057542954968,90.5771565217391
2016-01-08,"2016w01","Final",30.4,0.667925,45.5140921510649,44.4407993084111,1.1348,11.8623984710941,12.2373984710941,77.5728564739608,103.328571428571,90.9450549450549,33.1320571655497,32.580653487163,57.1649553017213,0.9818,22.527950310559,89.656950310559,82.0755354037267,184.9,172.714285714286,24.9105801020054,27.9868299402449,58.0278329497517,1.006,24.3761716544325,91.5051716544325,94.3728110295502,192.9,186.883982683983,36.3449780797984,38.9576677560321,88.3411316770186
2016-01-15,"2016w02","Final",26.29,0.6519,40.3282712072404,40.8535604167775,1.1348,11.13569039656,11.51069039656,72.7281359770664,97.7571428571429,85.3736263736264,31.8745755602889,32.5591975048139,54.7255419475849,0.9818,22.3416149068323,89.4706149068323,80.833299378882,183.471428571429,171.285714285714,26.1077574312971,28.0063068581196,55.6092854980947,1.006,24.1898362507058,91.3188362507058,93.1305750047055,191.471428571429,185.455411255411,37.5212895066108,39.0095812165674,83.4964111801242
2016-01-22,"2016w03","Final",24.04,0.64486,37.2794094842291,38.2742340719344,1.1348,10.6512183468705,11.0262183468705,69.4983223124701,94.0428571428571,81.6593406593407,31.2240882405358,32.5377415224649,52.7539899575821,0.9818,21.9875776397516,89.1165776397516,78.473050931677,180.757142857143,168.571428571429,25.719060974095,28.0257837759944,53.6472068640977,1.006,23.8357989836251,90.9647989836251,90.7703265575005,188.757142857143,182.741125541126,37.1231196934028,39.0614946771027,80.2665975155279
