City, Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
Christchurch, Kyle St Ews,May-2021,68,230.7,-,
Christchurch, Kyle St Ews,Jun-2021,68,277.4,-,
Christchurch, Kyle St Ews,Jul-2021,68,320.3,-,
Christchurch, Kyle St Ews,Aug-2021,68,282.8,-,
Christchurch, Kyle St Ews,Sep-2021,68,222.3,-,
Christchurch, Kyle St Ews,Oct-2021,68,149.8,-,
Rotorua Ews,Jan-2017,68,39.6,-,
Rotorua Ews,Feb-2017,68,10.5,-,
Rotorua Ews,Mar-2017,68,30.4,-,
Rotorua Ews,Apr-2017,68,105.9,-,
Rotorua Ews,May-2017,68,234.9,-,
Rotorua Ews,Jun-2017,68,272.1,-,
Rotorua Ews,Jul-2017,68,309.4,-,
Rotorua Ews,Aug-2017,68,252.3,-,
Rotorua Ews,Sep-2017,68,213.4,-,
Rotorua Ews,Oct-2017,68,159.7,-,
Rotorua Ews,Nov-2017,68,91.8,-,
Rotorua Ews,Dec-2017,68,13.8,-,
Rotorua Ews,Jan-2018,68,2.3,-,
Rotorua Ews,Feb-2018,68,15.0,-,
Rotorua Ews,Mar-2018,68,28.4,-,
Rotorua Ews,Apr-2018,68,123.8,-,
Rotorua Ews,May-2018,68,208.6,-,
Rotorua Ews,Jun-2018,68,280.7,-,
Rotorua Ews,Jul-2018,68,318.1,-,
Rotorua Ews,Aug-2018,68,278.3,-,
Rotorua Ews,Sep-2018,68,228.7,-,
Rotorua Ews,Oct-2018,68,179.8,-,
Rotorua Ews,Nov-2018,68,105.2,-,
Rotorua Ews,Dec-2018,68,28.2,-,
Rotorua Ews,Jan-2019,68,5.1,-,
Rotorua Ews,Feb-2019,68,14.3,-,
Rotorua Ews,Mar-2019,68,18.5,-,
Rotorua Ews,Apr-2019,68,147.0,-,
Rotorua Ews,May-2019,68,199.9,-,
Rotorua Ews,Jun-2019,68,293.7,-,
Rotorua Ews,Jul-2019,68,268.9,-,
Rotorua Ews,Aug-2019,68,280.8,-,
Rotorua Ews,Sep-2019,68,227.4,-,
Rotorua Ews,Oct-2019,68,179.1,-,
Rotorua Ews,Nov-2019,68,60.7,-,
Rotorua Ews,Dec-2019,68,29.6,-,
Rotorua Ews,Jan-2020,68,33.9,-,
Rotorua Ews,Feb-2020,68,3.7,-,
Rotorua Ews,Mar-2020,68,73.6,-,
Rotorua Ews,Apr-2020,68,127.6,-,
Rotorua Ews,May-2020,68,227.0,-,
Rotorua Ews,Jul-2020,68,298.5,-,
Rotorua Ews,Aug-2020,68,268.3,-,
Rotorua Ews,Sep-2020,68,221.6,-,
Rotorua Ews,Oct-2020,68,141.9,-,
Rotorua Ews,Nov-2020,68,86.6,-,
Rotorua Ews,Dec-2020,68,51.1,-,
Rotorua Ews,Jan-2021,68,25.9,-,
Rotorua Ews,Feb-2021,68,11.6,-,
Rotorua Ews,Mar-2021,68,66.9,-,
Rotorua Ews,Apr-2021,68,118.5,-,
Rotorua Ews,May-2021,68,206.8,-,
Rotorua Ews,Jun-2021,68,223.7,-,
Rotorua Ews,Jul-2021,68,310.0,-,
Rotorua Ews,Aug-2021,68,295.0,-,
Rotorua Ews,Sep-2021,68,234.3,-,
Rotorua Ews,Oct-2021,68,155.3,-,
