City, Station,Year, Month, Day,Hour,Temp,Twet(C),RH(%),Tdew(C)
Upper Hutt, Trentham Ews,2017,Jan,05,22,7.8,7.0,88.0,6.0
Upper Hutt, Trentham Ews,2017,Jan,05,23,6.9,6.4,93.0,5.9
Upper Hutt, Trentham Ews,2017,Jan,06,00,6.1,5.8,95.0,5.4
Upper Hutt, Trentham Ews,2017,Jan,06,01,5.6,5.3,95.0,4.9
Upper Hutt, Trentham Ews,2017,Jan,06,02,6.1,5.9,97.0,5.7
Upper Hutt, Trentham Ews,2017,Jan,06,03,7.3,7.0,96.0,6.7
Upper Hutt, Trentham Ews,2017,Jan,06,04,8.3,7.7,91.0,6.9
Upper Hutt, Trentham Ews,2017,Jan,06,05,11.4,10.1,84.0,8.8
Upper Hutt, Trentham Ews,2017,Jan,06,06,12.8,11.0,79.0,9.3
Upper Hutt, Trentham Ews,2017,Jan,06,07,13.9,11.1,69.0,8.3
Upper Hutt, Trentham Ews,2017,Jan,06,08,15.4,11.5,60.0,7.7
Upper Hutt, Trentham Ews,2017,Jan,06,09,15.5,11.8,62.0,8.3
Upper Hutt, Trentham Ews,2017,Jan,06,10,16.6,12.6,60.0,8.8
Upper Hutt, Trentham Ews,2017,Jan,06,11,15.9,12.1,61.0,8.4
Upper Hutt, Trentham Ews,2017,Jan,06,12,16.0,12.0,59.0,8.0
Upper Hutt, Trentham Ews,2017,Jan,06,13,16.0,12.0,59.0,8.0
Upper Hutt, Trentham Ews,2017,Jan,06,14,17.4,13.0,58.0,9.1
Upper Hutt, Trentham Ews,2017,Jan,06,15,16.6,12.9,63.0,9.5
Upper Hutt, Trentham Ews,2017,Jan,06,16,15.7,12.4,66.0,9.4
Upper Hutt, Trentham Ews,2017,Jan,06,17,15.5,12.3,67.0,9.4
Upper Hutt, Trentham Ews,2017,Jan,06,18,15.7,12.4,66.0,9.4
Upper Hutt, Trentham Ews,2017,Jan,06,19,15.3,12.5,70.0,9.9
Upper Hutt, Trentham Ews,2017,Jan,06,20,13.9,11.8,76.0,9.8
Upper Hutt, Trentham Ews,2017,Jan,06,21,13.3,11.7,81.0,10.1
Upper Hutt, Trentham Ews,2017,Jan,06,22,13.7,11.8,78.0,9.9
Upper Hutt, Trentham Ews,2017,Jan,06,23,13.4,11.5,78.0,9.7
Upper Hutt, Trentham Ews,2017,Jan,07,00,11.1,10.1,87.0,9.0
Upper Hutt, Trentham Ews,2017,Jan,07,01,14.0,11.9,77.0,10.1
Upper Hutt, Trentham Ews,2017,Jan,07,02,13.6,12.0,82.0,10.6
Upper Hutt, Trentham Ews,2017,Jan,07,03,12.7,11.6,87.0,10.6
Upper Hutt, Trentham Ews,2017,Jan,07,04,12.1,10.9,85.0,9.7
Upper Hutt, Trentham Ews,2017,Jan,07,05,12.2,10.6,81.0,9.1
Upper Hutt, Trentham Ews,2017,Jan,07,06,11.0,9.8,85.0,8.6
Upper Hutt, Trentham Ews,2017,Jan,07,07,13.7,11.2,72.0,8.8
Upper Hutt, Trentham Ews,2017,Jan,07,08,14.8,12.0,70.0,9.4
Upper Hutt, Trentham Ews,2017,Jan,07,09,16.9,12.8,60.0,9.1
Upper Hutt, Trentham Ews,2017,Jan,07,10,18.1,12.7,50.0,7.5
Upper Hutt, Trentham Ews,2017,Jan,07,11,18.3,12.4,46.0,6.5
Upper Hutt, Trentham Ews,2017,Jan,07,12,17.6,12.2,49.0,6.8
Upper Hutt, Trentham Ews,2017,Jan,07,13,17.9,12.7,51.0,7.7
Upper Hutt, Trentham Ews,2017,Jan,07,14,17.2,12.5,55.0,8.1
Upper Hutt, Trentham Ews,2017,Jan,07,15,17.9,13.7,60.0,10.1
Upper Hutt, Trentham Ews,2017,Jan,07,16,16.3,12.4,61.0,8.8
Upper Hutt, Trentham Ews,2017,Jan,07,17,16.1,12.5,63.0,9.1
Upper Hutt, Trentham Ews,2017,Jan,07,18,15.9,12.6,66.0,9.6
Upper Hutt, Trentham Ews,2017,Jan,07,19,14.9,12.0,69.0,9.3
Upper Hutt, Trentham Ews,2017,Jan,07,20,13.9,11.8,76.0,9.8
Upper Hutt, Trentham Ews,2017,Jan,07,21,13.8,11.8,78.0,10.0
Upper Hutt, Trentham Ews,2017,Jan,07,22,13.6,11.8,80.0,10.2
Upper Hutt, Trentham Ews,2017,Jan,07,23,13.8,11.9,79.0,10.2
Upper Hutt, Trentham Ews,2017,Jan,08,00,12.9,11.2,80.0,9.5
Upper Hutt, Trentham Ews,2017,Jan,08,01,12.3,10.9,83.0,9.5
Upper Hutt, Trentham Ews,2017,Jan,08,02,10.6,9.9,91.0,9.2
Upper Hutt, Trentham Ews,2017,Jan,08,03,9.3,8.9,94.0,8.4
Upper Hutt, Trentham Ews,2017,Jan,08,04,10.7,10.4,96.0,10.1
Upper Hutt, Trentham Ews,2017,Jan,08,05,11.7,10.9,90.0,10.1
Upper Hutt, Trentham Ews,2017,Jan,08,06,12.8,11.4,83.0,10.0
Upper Hutt, Trentham Ews,2017,Jan,08,07,13.7,11.8,78.0,9.9
Upper Hutt, Trentham Ews,2017,Jan,08,08,14.4,12.5,79.0,10.8
Upper Hutt, Trentham Ews,2017,Jan,08,09,15.8,12.7,68.0,9.9
Upper Hutt, Trentham Ews,2017,Jan,08,10,16.4,12.6,62.0,9.1
Upper Hutt, Trentham Ews,2017,Jan,08,11,17.4,12.7,55.0,8.3
Upper Hutt, Trentham Ews,2017,Jan,08,12,17.8,13.2,56.0,8.9
Upper Hutt, Trentham Ews,2017,Jan,08,13,18.2,13.7,58.0,9.8
Upper Hutt, Trentham Ews,2017,Jan,08,14,18.5,13.0,50.0,7.9
Upper Hutt, Trentham Ews,2017,Jan,08,15,18.6,13.5,53.0,8.8
Upper Hutt, Trentham Ews,2017,Jan,08,16,18.2,14.0,60.0,10.3
Upper Hutt, Trentham Ews,2017,Jan,08,17,16.8,13.6,68.0,10.9
Upper Hutt, Trentham Ews,2017,Jan,08,18,17.1,13.8,67.0,10.9
Upper Hutt, Trentham Ews,2017,Jan,08,19,16.4,13.7,72.0,11.4
Upper Hutt, Trentham Ews,2017,Jan,08,20,15.5,13.0,74.0,10.9
Upper Hutt, Trentham Ews,2017,Jan,08,21,15.0,12.6,74.0,10.4
Upper Hutt, Trentham Ews,2017,Jan,08,22,14.8,12.7,77.0,10.8
Upper Hutt, Trentham Ews,2017,Jan,08,23,15.0,12.6,74.0,10.4
Upper Hutt, Trentham Ews,2017,Jan,09,00,14.9,12.4,73.0,10.1
Upper Hutt, Trentham Ews,2017,Jan,09,01,15.0,12.2,70.0,9.6
Upper Hutt, Trentham Ews,2017,Jan,09,02,15.0,12.7,75.0,10.6
Upper Hutt, Trentham Ews,2017,Jan,09,03,14.5,12.5,78.0,10.7
Upper Hutt, Trentham Ews,2017,Jan,09,04,14.6,12.6,78.0,10.8
Upper Hutt, Trentham Ews,2017,Jan,09,05,15.3,13.2,78.0,11.5
Upper Hutt, Trentham Ews,2017,Jan,09,06,15.3,13.6,82.0,12.3
Upper Hutt, Trentham Ews,2017,Jan,09,07,15.5,13.8,82.0,12.5
Upper Hutt, Trentham Ews,2017,Jan,09,08,16.2,14.3,80.0,12.8
Upper Hutt, Trentham Ews,2017,Jan,09,09,17.1,14.9,78.0,13.2
Upper Hutt, Trentham Ews,2017,Jan,09,10,19.2,15.8,68.0,13.2
Upper Hutt, Trentham Ews,2017,Jan,09,11,20.6,16.0,60.0,12.6
Upper Hutt, Trentham Ews,2017,Jan,09,12,21.7,16.3,55.0,12.3
Upper Hutt, Trentham Ews,2017,Jan,09,13,21.3,16.3,57.0,12.5
Upper Hutt, Trentham Ews,2017,Jan,09,14,21.7,16.5,56.0,12.6
Upper Hutt, Trentham Ews,2017,Jan,09,15,21.9,16.5,55.0,12.5
Upper Hutt, Trentham Ews,2017,Jan,09,16,20.2,16.1,63.0,12.9
Upper Hutt, Trentham Ews,2017,Jan,09,17,18.7,16.0,74.0,14.0
Upper Hutt, Trentham Ews,2017,Jan,09,18,17.6,15.8,82.0,14.5
Upper Hutt, Trentham Ews,2017,Jan,09,19,16.9,15.4,85.0,14.4
Upper Hutt, Trentham Ews,2017,Jan,09,20,16.8,15.7,89.0,15.0
Upper Hutt, Trentham Ews,2017,Jan,09,21,16.9,15.6,87.0,14.7
Upper Hutt, Trentham Ews,2017,Jan,09,22,17.2,16.1,89.0,15.4
Upper Hutt, Trentham Ews,2017,Jan,09,23,17.4,16.2,88.0,15.4
Upper Hutt, Trentham Ews,2017,Jan,10,00,17.2,16.3,91.0,15.7
Upper Hutt, Trentham Ews,2017,Jan,10,01,17.4,16.4,90.0,15.7
Upper Hutt, Trentham Ews,2017,Jan,10,02,17.2,16.2,90.0,15.6
Upper Hutt, Trentham Ews,2017,Jan,10,03,17.4,16.3,89.0,15.6
Upper Hutt, Trentham Ews,2017,Jan,10,04,17.3,16.2,89.0,15.5
Upper Hutt, Trentham Ews,2017,Jan,10,05,17.3,16.1,88.0,15.3
Upper Hutt, Trentham Ews,2017,Jan,10,06,17.2,16.1,89.0,15.4
Upper Hutt, Trentham Ews,2017,Jan,10,07,17.8,16.4,86.0,15.4
Upper Hutt, Trentham Ews,2017,Jan,10,08,19.3,17.3,81.0,16.0
Upper Hutt, Trentham Ews,2017,Jan,10,09,20.3,17.3,73.0,15.3
Upper Hutt, Trentham Ews,2017,Jan,10,10,21.9,17.9,66.0,15.3
Upper Hutt, Trentham Ews,2017,Jan,10,11,21.0,17.8,72.0,15.8
Upper Hutt, Trentham Ews,2017,Jan,10,12,19.6,16.8,74.0,14.9
Upper Hutt, Trentham Ews,2017,Jan,10,13,19.5,16.6,73.0,14.5
Upper Hutt, Trentham Ews,2017,Jan,10,14,18.5,15.6,72.0,13.4
Upper Hutt, Trentham Ews,2017,Jan,10,15,19.3,16.3,72.0,14.1
Upper Hutt, Trentham Ews,2017,Jan,10,16,17.7,15.1,74.0,13.0
