City, Year, Month, Day,Hour,Temp,Twet(C),RH(%),Tdew(C)
Gisborne,2017,Jan,10,13,29.5,20.1,39,14.1
Gisborne,2017,Jan,10,14,29.8,20,37,13.6
Gisborne,2017,Jan,10,15,29.3,19.8,38,13.5
Gisborne,2017,Jan,10,16,28.8,19.4,38,13.1
Gisborne,2017,Jan,10,17,26.1,19.3,50,14.9
Gisborne,2017,Jan,10,18,25.2,18.7,51,14.4
Gisborne,2017,Jan,10,19,22.6,18,62,15
Gisborne,2017,Jan,10,20,20.7,17.6,72,15.5
Gisborne,2017,Jan,10,21,19.8,17.2,76,15.5
Gisborne,2017,Jan,10,22,19.2,16.8,77,15.1
Gisborne,2017,Jan,10,23,18.1,16.1,80,14.6
Gisborne,2017,Jan,11,0,16.2,14.5,82,13.1
Gisborne,2017,Jan,11,1,15.2,13.6,83,12.3
Gisborne,2017,Jan,11,2,15,13.9,88,13
Gisborne,2017,Jan,11,3,15.1,14,88,13.1
Gisborne,2017,Jan,11,4,15.2,14.1,88,13.2
Gisborne,2017,Jan,11,5,15.5,14.4,88,13.5
Gisborne,2017,Jan,11,6,16.2,14.8,85,13.7
Gisborne,2017,Jan,11,7,18.5,16,76,14.2
Gisborne,2017,Jan,11,8,22.4,17.9,62,14.8
Gisborne,2017,Jan,11,9,25.6,18.6,48,13.8
Gisborne,2017,Jan,11,10,28.2,18.6,36,11.7
Gisborne,2017,Jan,11,11,31.3,20.3,33,13.1
Gisborne,2017,Jan,11,12,32.5,19.7,26,10.5
Gisborne,2017,Jan,11,13,32,21.7,37,15.5
Gisborne,2017,Jan,11,14,32,21.9,38,15.9
Gisborne,2017,Jan,11,15,31.1,21.4,39,15.5
Gisborne,2017,Jan,11,16,31.4,21.4,38,15.4
Gisborne,2017,Jan,11,17,29.4,20.6,42,15.2
Gisborne,2017,Jan,11,18,27.8,19.9,45,14.8
Gisborne,2017,Jan,11,19,25.1,19.1,54,15.2
Gisborne,2017,Jan,11,20,21.5,17.4,65,14.7
Gisborne,2017,Jan,11,21,22.7,17,54,12.9
Gisborne,2017,Jan,11,22,21.9,16.8,57,13
Gisborne,2017,Jan,11,23,20.1,15.8,62,12.6
Gisborne,2017,Jan,12,0,19.3,14.8,59,11.1
Gisborne,2017,Jan,12,1,20.9,15,50,10.1
Gisborne,2017,Jan,12,2,19.9,14.2,50,9.2
Gisborne,2017,Jan,12,3,19.1,13.7,51,8.8
Gisborne,2017,Jan,12,4,18.4,13.3,53,8.7
Gisborne,2017,Jan,12,5,18.6,13.1,50,8
Gisborne,2017,Jan,12,6,20.1,13.5,43,7.2
Gisborne,2017,Jan,12,7,21.6,14.6,43,8.5
Gisborne,2017,Jan,12,8,24.6,15.8,35,8.2
Gisborne,2017,Jan,12,9,25.8,15.5,28,6
Gisborne,2017,Jan,12,10,27.1,16.9,31,8.5
Gisborne,2017,Jan,12,11,28.6,18.4,33,10.8
Gisborne,2017,Jan,12,12,28.9,18.8,34,11.5
Gisborne,2017,Jan,12,13,28.5,19,37,12.4
Gisborne,2017,Jan,12,14,29,19.4,37,12.9
Gisborne,2017,Jan,12,15,28,19.3,41,13.5
Gisborne,2017,Jan,12,16,27.7,19.3,42,13.6
Gisborne,2017,Jan,12,17,26.8,18.6,42,12.8
Gisborne,2017,Jan,12,18,24.8,18.1,49,13.4
Gisborne,2017,Jan,12,19,23,17.3,54,13.2
Gisborne,2017,Jan,12,20,22,16.9,57,13.1
Gisborne,2017,Jan,12,21,21.6,16.6,58,13
Gisborne,2017,Jan,12,22,21.3,16.5,59,13
Gisborne,2017,Jan,12,23,21.2,16.2,57,12.4
Gisborne,2017,Jan,13,0,21.5,16.4,57,12.6
Gisborne,2017,Jan,13,1,21.5,16.7,59,13.2
Gisborne,2017,Jan,13,2,21.3,16.8,61,13.5
Gisborne,2017,Jan,13,3,21.1,16.8,63,13.8
Gisborne,2017,Jan,13,4,20.4,16.7,67,14.1
Gisborne,2017,Jan,13,5,20.2,16.9,70,14.6
Gisborne,2017,Jan,13,6,20.6,17.2,70,14.9
Gisborne,2017,Jan,13,7,20.9,17.6,71,15.4
Gisborne,2017,Jan,13,8,22.7,18.1,62,15.1
Gisborne,2017,Jan,13,9,26,19.5,52,15.4
Gisborne,2017,Jan,13,10,26.5,19.8,51,15.6
Gisborne,2017,Jan,13,11,27.3,20.1,49,15.7
Gisborne,2017,Jan,13,12,28.5,20.6,46,15.8
Gisborne,2017,Jan,13,13,25.4,18.4,48,13.6
Gisborne,2017,Jan,13,14,27,19.4,46,14.4
Gisborne,2017,Jan,13,15,25.1,19.5,57,16
Gisborne,2017,Jan,13,16,24.4,17.3,46,12.1
Gisborne,2017,Jan,13,17,22.5,18.1,63,15.1
Gisborne,2017,Jan,13,18,21.4,17.4,65,14.6
Gisborne,2017,Jan,13,19,20,16.6,69,14.2
Gisborne,2017,Jan,13,20,18.1,15.6,76,13.8
Gisborne,2017,Jan,13,21,17.1,15.2,81,13.8
Gisborne,2017,Jan,13,22,16,14.7,86,13.7
Gisborne,2017,Jan,13,23,15,13.7,86,12.7
Gisborne,2017,Jan,14,0,14.4,13.3,88,12.5
Gisborne,2017,Jan,14,1,14.5,13.4,88,12.5
Gisborne,2017,Jan,14,2,14.3,13.4,90,12.7
Gisborne,2017,Jan,14,3,14.6,13.8,91,13.2
Gisborne,2017,Jan,14,4,15,13.9,88,13
Gisborne,2017,Jan,14,5,15.2,14.1,88,13.2
Gisborne,2017,Jan,14,6,15.8,14.5,86,13.5
Gisborne,2017,Jan,14,7,17.3,15.4,81,14
Gisborne,2017,Jan,14,8,19.6,16.1,68,13.5
Gisborne,2017,Jan,14,9,21.1,16.3,59,12.8
Gisborne,2017,Jan,14,10,22.5,16.3,50,11.6
Gisborne,2017,Jan,14,11,24.1,17.4,48,12.4
Gisborne,2017,Jan,14,12,25.3,18,46,12.9
Gisborne,2017,Jan,14,13,26.8,18.7,43,13.2
Gisborne,2017,Jan,14,14,27.3,18.3,38,11.8
Gisborne,2017,Jan,14,15,28.6,18.4,33,10.8
Gisborne,2017,Jan,14,16,28.3,18.1,33,10.5
Gisborne,2017,Jan,14,17,27.2,17.2,32,9.1
Gisborne,2017,Jan,14,18,24.2,16.5,42,10.5
Gisborne,2017,Jan,14,19,22.7,15.1,40,8.4
Gisborne,2017,Jan,14,20,21.8,14.9,44,9
Gisborne,2017,Jan,14,21,21,15.2,51,10.5
Gisborne,2017,Jan,14,22,20.4,15.1,54,10.8
Gisborne,2017,Jan,14,23,20.2,14.8,53,10.3
Gisborne,2017,Jan,15,0,20.3,14.9,53,10.4
Gisborne,2017,Jan,15,1,20.4,15,53,10.5
Gisborne,2017,Jan,15,2,20.3,15.3,56,11.3
Gisborne,2017,Jan,15,3,20.4,15.7,59,12.1
Gisborne,2017,Jan,15,4,19.9,16,65,13.2
Gisborne,2017,Jan,15,5,20.4,15.7,59,12.1
Gisborne,2017,Jan,15,6,20.7,15.7,57,11.9
Gisborne,2017,Jan,15,7,22.3,17,56,13.1
Gisborne,2017,Jan,15,8,24.1,18.2,54,14.2
Gisborne,2017,Jan,15,9,24.7,18.7,54,14.8
Gisborne,2017,Jan,15,10,26.7,19.6,49,15.1
Gisborne,2017,Jan,15,11,27.6,19.9,46,14.9
Gisborne,2017,Jan,15,12,27.6,20.5,50,16.3
Gisborne,2017,Jan,15,13,28.4,21.2,50,17
Gisborne,2017,Jan,15,14,27.1,20.6,53,16.7
Gisborne,2017,Jan,15,15,26.4,20.5,56,16.9
Gisborne,2017,Jan,15,16,25.6,20.5,61,17.5
Gisborne,2017,Jan,15,17,26.6,20.8,57,17.4
Gisborne,2017,Jan,15,18,26,20.6,59,17.4
Gisborne,2017,Jan,15,19,25.4,20.3,61,17.4
Gisborne,2017,Jan,15,20,24.8,20.1,63,17.3
Gisborne,2017,Jan,15,21,24.2,20.1,67,17.7
Gisborne,2017,Jan,15,22,23.6,19.7,68,17.4
Gisborne,2017,Jan,15,23,22.6,19.1,70,16.9
